name,SubCategory,OS,Country,City,Support Group,Virtual,Shared
ITSUSRAOMJF02T,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOMJF03D,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOMJF03G,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOMJF03P,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJF03S,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOMJF03T,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOMJF04D,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOMJF04G,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOMJF04P,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJF04S,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOMJF04T,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOMJF05P,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJF05S,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAOMJF06P,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJF07P,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJF08P,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJF09P,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJFS1P,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJFS2P,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJFS3P,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAOMJFS4P,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
